Strng:having insomnia<count> Count:2<count> Probability:0.8333333
Strng:having friends<count> Count:2<count> Probability:0.71428573
Strng:burnt pizza<count> Count:2<count> Probability:1.0
Strng:being unwanted<count> Count:2<count> Probability:1.0
Strng:seeing city<count> Count:2<count> Probability:1.0
Strng:getting shit<count> Count:2<count> Probability:0.33333334
Strng:giving public<count> Count:2<count> Probability:1.0
Strng:doing speechs<count> Count:2<count> Probability:0.01
Strng:crying because<count> Count:2<count> Probability:0.1
Strng:being sub<count> Count:2<count> Probability:0.8
Strng:calling someone<count> Count:2<count> Probability:0.25
Strng:getting birthday<count> Count:2<count> Probability:1.0
Strng:replacement officials<count> Count:2<count> Probability:0.8
Strng:spending loads<count> Count:2<count> Probability:1.0
Strng:brushing my<count> Count:2<count> Probability:0.4
Strng:watching eli<count> Count:2<count> Probability:1.0
Strng:working mornings<count> Count:2<count> Probability:1.0
Strng:doesn't talk<count> Count:2<count> Probability:1.0
Strng:muscle injuries<count> Count:2<count> Probability:1.0
Strng:missing school<count> Count:2<count> Probability:1.0
Strng:getting slapped<count> Count:2<count> Probability:1.0
Strng:hearing shit<count> Count:2<count> Probability:0.2
Strng:drinking coffee<count> Count:2<count> Probability:0.125
Strng:seeing what<count> Count:2<count> Probability:0.75
Strng:traveling #delayed<count> Count:2<count> Probability:1.0
Strng:gettin hit<count> Count:2<count> Probability:1.0
Strng:driving next<count> Count:2<count> Probability:1.0
Strng:reading stories<count> Count:2<count> Probability:1.0
Strng:rt thanks<count> Count:2<count> Probability:0.17391305
Strng:taken women<count> Count:2<count> Probability:1.0
Strng:watching baseball<count> Count:2<count> Probability:1.0
Strng:drama in<count> Count:2<count> Probability:0.5
Strng:seeing people's<count> Count:2<count> Probability:1.0
Strng:is great<count> Count:2<count> Probability:0.44
Strng:getn deefyd<count> Count:2<count> Probability:1.0
Strng:having religious<count> Count:2<count> Probability:1.0
Strng:taking freezing<count> Count:2<count> Probability:1.0
Strng:bein called<count> Count:2<count> Probability:1.0
Strng:having parents<count> Count:2<count> Probability:1.0
Strng:being body<count> Count:2<count> Probability:1.0
Strng:looking outside<count> Count:2<count> Probability:0.5
Strng:algebra {number}<count> Count:2<count> Probability:0.01
Strng:learning new<count> Count:2<count> Probability:1.0E-13
Strng:coming back<count> Count:2<count> Probability:0.16666667
Strng:selling things<count> Count:2<count> Probability:1.0
Strng:playing hide<count> Count:2<count> Probability:0.2
Strng:taking antibiotics<count> Count:2<count> Probability:1.0
Strng:waiting rooms<count> Count:2<count> Probability:0.5
Strng:taking test<count> Count:2<count> Probability:0.8
Strng:feeling involved<count> Count:2<count> Probability:1.0
Strng:spilling hot<count> Count:2<count> Probability:1.0
Strng:having big<count> Count:2<count> Probability:1.0
Strng:comments that<count> Count:2<count> Probability:0.6666667
Strng:feeling used<count> Count:2<count> Probability:1.0
Strng:texting all<count> Count:2<count> Probability:0.6
Strng:being stranded<count> Count:2<count> Probability:0.5
Strng:eating lunch<count> Count:2<count> Probability:0.6
Strng:school d<count> Count:2<count> Probability:0.29113925
Strng:doing all<count> Count:2<count> Probability:0.53333336
Strng:talking tests<count> Count:2<count> Probability:1.0
Strng:being constantly<count> Count:2<count> Probability:0.75
Strng:waking to<count> Count:2<count> Probability:1.0
