Strng:breaking down<count> Count:3<count> Probability:0.0
Strng:sounding like<count> Count:3<count> Probability:0.0
Strng:running into<count> Count:3<count> Probability:0.0
Strng:shin splints<count> Count:3<count> Probability:0.0
Strng:working friday<count> Count:3<count> Probability:0.0
Strng:working from<count> Count:3<count> Probability:0.0
Strng:hearing that<count> Count:3<count> Probability:0.0
Strng:posting screenshots<count> Count:2<count> Probability:0.0
Strng:getting sucker<count> Count:2<count> Probability:0.0
Strng:getting written<count> Count:2<count> Probability:0.0
Strng:studying biology<count> Count:2<count> Probability:0.0
Strng:getting shut<count> Count:2<count> Probability:0.0
Strng:school ${Number}<count> Count:2<count> Probability:0.0
Strng:getting used<count> Count:2<count> Probability:0.0
Strng:learning mathematical<count> Count:2<count> Probability:0.0
Strng:getting hung<count> Count:2<count> Probability:0.0
Strng:having everything<count> Count:2<count> Probability:0.0
Strng:getting absolutely<count> Count:2<count> Probability:0.0
Strng:sitting here<count> Count:2<count> Probability:0.0
Strng:using extra<count> Count:2<count> Probability:0.0
Strng:having seasonal<count> Count:2<count> Probability:0.0
Strng:being approached<count> Count:2<count> Probability:0.0
Strng:watching football<count> Count:2<count> Probability:0.0
Strng:seeing a<count> Count:2<count> Probability:0.0
Strng:getting accused<count> Count:2<count> Probability:0.0
Strng:doing work<count> Count:2<count> Probability:0.0
Strng:being followed<count> Count:2<count> Probability:0.0
Strng:sitting like<count> Count:2<count> Probability:0.0
Strng:finding shit<count> Count:2<count> Probability:0.0
Strng:being blind<count> Count:2<count> Probability:0.0
Strng:messing with<count> Count:2<count> Probability:0.0
Strng:working the<count> Count:2<count> Probability:0.0
Strng:getting stopped<count> Count:2<count> Probability:0.0
Strng:working hate<count> Count:2<count> Probability:0.0
Strng:is being<count> Count:2<count> Probability:0.0
Strng:reading cat<count> Count:2<count> Probability:0.0
Strng:watching rt<count> Count:2<count> Probability:0.0
Strng:being condescended<count> Count:2<count> Probability:0.0
Strng:watching late<count> Count:2<count> Probability:0.0
Strng:having strange<count> Count:2<count> Probability:0.0
Strng:playing peacemaker<count> Count:2<count> Probability:0.0
Strng:running defense<count> Count:2<count> Probability:0.0
Strng:doing coursework<count> Count:2<count> Probability:0.0
Strng:taking notes<count> Count:2<count> Probability:0.0
Strng:memorizing tags<count> Count:2<count> Probability:0.0
Strng:helping people<count> Count:2<count> Probability:0.0
Strng:watching tv<count> Count:2<count> Probability:0.0
Strng:playing politics<count> Count:2<count> Probability:0.0
Strng:being broke<count> Count:2<count> Probability:0.0
Strng:starting off<count> Count:2<count> Probability:0.0
Strng:taking exams<count> Count:2<count> Probability:0.0
Strng:working #money<count> Count:2<count> Probability:0.0
Strng:being snowed<count> Count:2<count> Probability:0.0
Strng:bring creeped<count> Count:2<count> Probability:0.0
Strng:wait lists<count> Count:2<count> Probability:0.0
Strng:working weekends<count> Count:2<count> Probability:0.0
Strng:being hung<count> Count:2<count> Probability:0.0
Strng:being covered<count> Count:2<count> Probability:0.0
Strng:sitting on<count> Count:2<count> Probability:0.0
Strng:lifting eery<count> Count:2<count> Probability:0.0
Strng:meeting new<count> Count:2<count> Probability:0.0
Strng:leaving vacation<count> Count:2<count> Probability:0.0
Strng:wearing fleece<count> Count:2<count> Probability:0.0
Strng:getting hurt<count> Count:2<count> Probability:0.0
Strng:discussing things<count> Count:2<count> Probability:0.0
Strng:football so<count> Count:2<count> Probability:0.0
Strng:doing controlled<count> Count:2<count> Probability:0.0
Strng:mentioning something<count> Count:2<count> Probability:0.0
Strng:getting replies<count> Count:2<count> Probability:0.0
Strng:typing papers<count> Count:2<count> Probability:0.0
Strng:getting fag<count> Count:2<count> Probability:0.0
Strng:being bitched<count> Count:2<count> Probability:0.0
Strng:being guilty<count> Count:2<count> Probability:0.0
Strng:having full<count> Count:2<count> Probability:0.0
Strng:stepping in<count> Count:2<count> Probability:0.0
Strng:being super<count> Count:2<count> Probability:0.0
Strng:being deaded<count> Count:2<count> Probability:0.0
Strng:watching horror<count> Count:2<count> Probability:0.0
Strng:pulling weeds<count> Count:2<count> Probability:0.0
Strng:getting walked<count> Count:2<count> Probability:0.0
Strng:smelling cigarette<count> Count:2<count> Probability:0.0
Strng:getting gas<count> Count:2<count> Probability:0.0
Strng:doing drugs<count> Count:2<count> Probability:0.0
Strng:having tinnitus<count> Count:2<count> Probability:0.0
Strng:being squished<count> Count:2<count> Probability:0.0
Strng:being such<count> Count:2<count> Probability:0.0
Strng:being pissy<count> Count:2<count> Probability:0.0
Strng:working late<count> Count:2<count> Probability:0.0
Strng:getting replaced<count> Count:2<count> Probability:0.0
Strng:seeing lighting<count> Count:2<count> Probability:0.0
Strng:being micromanaged<count> Count:2<count> Probability:0.0
Strng:physics and<count> Count:2<count> Probability:0.0
Strng:getting slow<count> Count:2<count> Probability:0.0
Strng:making chem<count> Count:2<count> Probability:0.0
Strng:getting one<count> Count:2<count> Probability:0.0
Strng:having insomnia<count> Count:2<count> Probability:0.0
Strng:having friends<count> Count:2<count> Probability:0.0
Strng:burnt pizza<count> Count:2<count> Probability:0.0
Strng:being unwanted<count> Count:2<count> Probability:0.0
Strng:seeing city<count> Count:2<count> Probability:0.0
Strng:getting shit<count> Count:2<count> Probability:0.0
Strng:giving public<count> Count:2<count> Probability:0.0
Strng:doing speechs<count> Count:2<count> Probability:0.0
Strng:crying because<count> Count:2<count> Probability:0.0
Strng:being sub<count> Count:2<count> Probability:0.0
Strng:calling someone<count> Count:2<count> Probability:0.0
Strng:getting birthday<count> Count:2<count> Probability:0.0
Strng:replacement officials<count> Count:2<count> Probability:0.0
Strng:spending loads<count> Count:2<count> Probability:0.0
Strng:brushing my<count> Count:2<count> Probability:0.0
Strng:watching eli<count> Count:2<count> Probability:0.0
Strng:working mornings<count> Count:2<count> Probability:0.0
