Strng:doing math based<count> Count:2<count> Probability:1.0
Strng:being people's second<count> Count:2<count> Probability:1.0
Strng:sleeping in a<count> Count:2<count> Probability:0.5
Strng:gettin woke up<count> Count:2<count> Probability:1.0
Strng:hearing my mom<count> Count:2<count> Probability:1.0
Strng:being scheduled so<count> Count:2<count> Probability:1.0
Strng:gettin stuck behind<count> Count:2<count> Probability:1.0
Strng:being sick #sleep<count> Count:2<count> Probability:0.01
Strng:spending my sunday<count> Count:2<count> Probability:1.0
Strng:being brushed off<count> Count:2<count> Probability:1.0
Strng:ending a school<count> Count:2<count> Probability:1.0
Strng:being such a<count> Count:2<count> Probability:0.5
Strng:getting the cold<count> Count:2<count> Probability:1.0
Strng:getting cussed at<count> Count:2<count> Probability:1.0
Strng:being stranded at<count> Count:2<count> Probability:1.0
Strng:being ignored thanks<count> Count:2<count> Probability:1.0
Strng:being sick #no<count> Count:2<count> Probability:1.0
Strng:pmsing fuck you<count> Count:2<count> Probability:0.01
Strng:being there for<count> Count:2<count> Probability:0.6923077
Strng:doing food tech<count> Count:2<count> Probability:1.0
Strng:being used y'all<count> Count:2<count> Probability:0.01
Strng:doing college work<count> Count:2<count> Probability:1.0
Strng:having fake friends<count> Count:2<count> Probability:1.0
Strng:working til {number}<count> Count:2<count> Probability:0.01
Strng:being asked to<count> Count:2<count> Probability:1.0
Strng:cleaning spilt yogurt<count> Count:2<count> Probability:1.0
Strng:watching programs about<count> Count:2<count> Probability:1.0
Strng:being sick #itsjustmyfavorite<count> Count:2<count> Probability:1.0
Strng:fighting with the<count> Count:2<count> Probability:1.0
Strng:surprise visits from<count> Count:2<count> Probability:1.0
Strng:texting people with<count> Count:2<count> Probability:0.5
Strng:getting accused of<count> Count:2<count> Probability:1.0
Strng:being talked about<count> Count:2<count> Probability:1.0
Strng:waking up from<count> Count:2<count> Probability:0.2857143
Strng:walking past some<count> Count:2<count> Probability:1.0
Strng:reading farm journals<count> Count:2<count> Probability:1.0
Strng:being ignored #screwyou<count> Count:2<count> Probability:0.01
Strng:having numb feet<count> Count:2<count> Probability:1.0
Strng:being a loner<count> Count:2<count> Probability:1.0
Strng:being single of<count> Count:2<count> Probability:1.0
Strng:giving public speeches<count> Count:2<count> Probability:1.0
Strng:throwing up in<count> Count:2<count> Probability:0.6
Strng:having trust issues<count> Count:2<count> Probability:1.0
Strng:being single on<count> Count:2<count> Probability:0.75
Strng:getting hate thanks<count> Count:2<count> Probability:0.01
Strng:being ignored don't<count> Count:2<count> Probability:1.0
Strng:having friends that<count> Count:2<count> Probability:0.5
Strng:having miss vaughn<count> Count:2<count> Probability:1.0
Strng:having rehearsals that<count> Count:2<count> Probability:1.0
Strng:writing essays every<count> Count:2<count> Probability:1.0
Strng:being pushed out<count> Count:2<count> Probability:1.0
Strng:being pulled over<count> Count:2<count> Probability:1.0
Strng:working until close<count> Count:2<count> Probability:1.0
Strng:being caught in<count> Count:2<count> Probability:1.0
Strng:getting texted haha<count> Count:2<count> Probability:1.0
Strng:getting sticked at<count> Count:2<count> Probability:0.01
Strng:getting called out<count> Count:2<count> Probability:1.0
Strng:waiting hours to<count> Count:2<count> Probability:1.0
Strng:spending lunch break<count> Count:2<count> Probability:1.0
Strng:having bad hair<count> Count:2<count> Probability:1.0
Strng:working doubles off<count> Count:2<count> Probability:1.0
Strng:going to baseball<count> Count:2<count> Probability:1.0
Strng:being ugly and<count> Count:2<count> Probability:1.0
Strng:doing half my<count> Count:2<count> Probability:1.0
Strng:getting stung by<count> Count:2<count> Probability:1.0
Strng:coming home everyone<count> Count:2<count> Probability:0.01
Strng:being referred to<count> Count:2<count> Probability:1.0
Strng:walking into the<count> Count:2<count> Probability:1.0
Strng:having a project<count> Count:2<count> Probability:1.0
Strng:getting ditched all<count> Count:2<count> Probability:1.0
Strng:buying car seats<count> Count:2<count> Probability:1.0
Strng:driving to algonquin<count> Count:2<count> Probability:1.0
Strng:learning about managing<count> Count:2<count> Probability:1.0
Strng:getting stuck in<count> Count:2<count> Probability:0.4
Strng:being single especially<count> Count:2<count> Probability:1.0
Strng:being treated this<count> Count:2<count> Probability:1.0
Strng:writing essays #sotired<count> Count:2<count> Probability:0.01
Strng:spending the whole<count> Count:2<count> Probability:1.0
Strng:working {number} days<count> Count:2<count> Probability:0.01
Strng:discussing things i<count> Count:2<count> Probability:1.0
Strng:being ignored #ummno<count> Count:2<count> Probability:1.0
Strng:looking outside &amp<count> Count:2<count> Probability:1.0
Strng:playing babysitter nurse<count> Count:2<count> Probability:1.0
Strng:being sick #miserable<count> Count:2<count> Probability:0.01
Strng:getting lectured about<count> Count:2<count> Probability:1.0
Strng:getting birthday presents<count> Count:2<count> Probability:1.0
Strng:freaking being ignored<count> Count:2<count> Probability:1.0
Strng:being ignored #truefact<count> Count:2<count> Probability:1.0
Strng:having to come<count> Count:2<count> Probability:1.0
Strng:getting ditched #lovesit<count> Count:2<count> Probability:1.0
Strng:finding repulsive amounts<count> Count:2<count> Probability:1.0
Strng:meeting time why<count> Count:2<count> Probability:1.0
Strng:walking all the<count> Count:2<count> Probability:1.0
Strng:being interrupted by<count> Count:2<count> Probability:1.0
Strng:staying home one<count> Count:2<count> Probability:1.0
Strng:working late in<count> Count:2<count> Probability:1.0
Strng:eating squished pop<count> Count:2<count> Probability:1.0
Strng:waking up being<count> Count:2<count> Probability:1.0
Strng:being invited over<count> Count:2<count> Probability:1.0
